epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1201,5.89011,1.16929,0.075154,1.09413,1288,0.20434
1202,5.92359,0.525107,0.0566739,0.468433,1288,0.15213
1203,5.92341,0.126072,0.0451919,0.0808804,1288,0.16413
1204,5.91069,0.0841634,0.045258,0.0389054,1288,0.13414
1205,5.90454,0.0938602,0.0443231,0.0495371,1288,0.14395
1206,5.90687,0.0894415,0.0440406,0.0454009,1288,0.13703
1207,5.90576,0.0890724,0.0415374,0.047535,1288,0.13124
1208,5.91248,0.080044,0.0391753,0.0408687,1288,0.13073
1209,5.93071,0.0778716,0.040034,0.0378376,1288,0.13081
1210,5.91884,0.0751383,0.0370545,0.0380838,1288,0.13467
1211,5.90572,0.075517,0.0367865,0.0387306,1288,0.13356
1212,5.91635,0.0700498,0.0352182,0.0348315,1288,0.13613
1213,5.91142,0.0644244,0.0336583,0.0307661,1288,0.14006
1214,5.89714,0.0787309,0.0320288,0.0467021,1288,0.13954
1215,5.88925,0.0621737,0.0305526,0.031621,1288,0.1417
1216,5.90168,0.0560355,0.0288527,0.0271828,1288,0.1341
1217,5.90923,0.0590023,0.0277961,0.0312062,1288,0.13439
1218,5.90509,0.0641502,0.0269962,0.037154,1288,0.12972
1219,5.90359,0.058957,0.0267502,0.0322068,1288,0.13202
1220,5.89499,0.0603871,0.0261138,0.0342734,1288,0.12717
1221,5.8956,0.0700801,0.0255722,0.0445079,1288,0.14505
1222,5.89354,0.0590321,0.0251593,0.0338729,1288,0.13097
1223,5.89831,0.0520748,0.0248897,0.0271851,1288,0.14716
1224,5.89881,0.0661495,0.0243821,0.0417674,1288,0.1433
1225,5.89329,0.0570895,0.0242312,0.0328584,1288,0.14201
1226,5.8956,0.0578061,0.0240425,0.0337636,1288,0.13578
1227,5.89721,0.0630431,0.0238334,0.0392097,1288,0.13791
1228,5.89714,0.0577079,0.0234929,0.0342149,1288,0.14382
1229,5.89517,0.0550227,0.0234103,0.0316124,1288,0.13492
1230,5.89784,0.0589163,0.0231875,0.0357287,1288,0.13671
1231,5.89408,0.0616321,0.0230204,0.0386117,1288,0.13455
1232,5.89068,0.0551322,0.0228609,0.0322713,1288,0.14514
1233,5.89756,0.0519526,0.0225895,0.0293631,1288,0.13692
1234,5.89513,0.0516931,0.022436,0.0292571,1288,0.144
1235,5.89155,0.0620307,0.0223809,0.0396497,1288,0.15405
1236,5.8959,0.0536486,0.022421,0.0312276,1288,0.15491
1237,5.89618,0.052269,0.0221283,0.0301407,1288,0.13938
1238,5.89483,0.0523217,0.0219947,0.030327,1288,0.13003
1239,5.89489,0.0591853,0.0219139,0.0372714,1288,0.13001
1240,5.90294,0.457985,0.0630452,0.394939,1592,556.216
1241,5.91333,0.263078,0.0586095,0.204469,1592,0.14933
1242,5.91543,0.12054,0.0529161,0.0676239,1592,0.13782
1243,5.89435,0.105984,0.0488872,0.0570972,1592,0.13904
1244,5.87291,0.0824574,0.0492843,0.0331731,1592,0.14696
1245,5.89498,0.0785242,0.0478301,0.0306941,1592,0.15253
1246,5.89874,0.0796568,0.0479944,0.0316624,1592,0.243
